,HDI_Rank,Country,Human_Development_Index,Life_Expectancy_At_Birth,Expected_Years_Of_Schooling,Mean_Years_Of_Schooling,GNI_Per_Capita,GNI_Per_Capita_Rank_Minus_HDI_Rank,iso_n3
0,1,Norway,0.957,82.4,18.1,12.9,"66,494",7,578
1,2,Ireland,0.955,82.3,18.7,12.7,"68,371",4,372
2,2,Switzerland,0.955,83.8,16.3,13.4,"69,394",3,756
3,4,"Hong Kong, China (SAR)",0.949,84.9,16.9,12.3,"62,985",7,344
4,4,Iceland,0.949,83,19.1,12.8,"54,682",14,352
5,6,Germany,0.947,81.3,17,14.2,"55,314",11,276
6,7,Sweden,0.945,82.8,19.5,12.5,"54,508",12,752
7,8,Australia,0.944,83.4,22,12.7,"48,085",15,36
8,8,Netherlands,0.944,82.3,18.5,12.4,"57,707",6,528
9,10,Denmark,0.94,80.9,18.9,12.6,"58,662",2,208
10,11,Finland,0.938,81.9,19.4,12.8,"48,511",11,246
11,11,Singapore,0.938,83.6,16.4,11.6,"88,155",-8,702
12,13,United Kingdom,0.932,81.3,17.5,13.2,"46,071",13,826
13,14,Belgium,0.931,81.6,19.8,12.1,"52,085",6,56
14,14,New Zealand,0.931,82.3,18.8,12.8,"40,799",18,554
15,16,Canada,0.929,82.4,16.2,13.4,"48,527",5,124
16,17,United States,0.926,78.9,16.3,13.4,"63,826",-7,840
17,18,Austria,0.922,81.5,16.1,12.5,"56,197",-3,40
18,19,Israel,0.919,83,16.2,13,"40,187",14,376
19,19,Japan,0.919,84.6,15.2,12.9,"42,932",9,392
20,19,Liechtenstein,0.919,80.7,14.9,12.5,"131,032",-18,438
21,22,Slovenia,0.917,81.3,17.6,12.7,"38,080",15,705
22,23,Korea (Republic of),0.916,83,16.5,12.2,"43,044",4,410
23,23,Luxembourg,0.916,82.3,14.3,12.3,"72,712",-19,442
24,25,Spain,0.904,83.6,17.6,10.3,"40,975",6,724
25,26,France,0.901,82.7,15.6,11.5,"47,173",-1,250
26,27,Czechia,0.9,79.4,16.8,12.7,"38,109",9,203
27,28,Malta,0.895,82.5,16.1,11.3,"39,555",6,470
